Name	Image	0	Location	Size	Time	1	2	3	4	5	6	7	8	9	10	11	12
Bitterling	Bitterling HHD Icon	900	River	1	All day	0	0	0	0	1	1	1	1	1	0	0	0
Pale chub	Pale Chub HHD Icon	200	River	1	9 AM - 4 PM	1	1	1	1	1	1	1	1	1	1	1	1
Crucian carp	Crucian Carp HHD Icon	160	River	2	All day	1	1	1	1	1	1	1	1	1	1	1	1
Dace	Dace HHD Icon	240	River	3	4 PM - 9 AM	1	1	1	1	1	1	1	1	1	1	1	1
Carp	Carp HHD Icon	300	Pond	4	All day	1	1	1	1	1	1	1	1	1	1	1	1
Koi	Koi HHD Icon	4000	Pond	4	4 PM - 9 AM	1	1	1	1	1	1	1	1	1	1	1	1
Goldfish	Goldfish HHD Icon	1300	Pond	1	All day	1	1	1	1	1	1	1	1	1	1	1	1
Pop-eyed Goldfish	Popeyed Goldfish HHD Icon	1300	Pond	1	9 AM - 4 PM	1	1	1	1	1	1	1	1	1	1	1	1
Ranchu Goldfish	Ranchu Goldfish NH Icon	4500	Pond	1	9 AM - 4 PM	1	1	1	1	1	1	1	1	1	1	1	1
Killifish	Killifish HHD Icon	300	Pond	1	9 AM - 4 PM	1	1	0	0	0	0	0	0	0	1	1	1
Crawfish	Crawfish HHD Icon	200	Pond	2	All day	1	1	1	0	0	0	0	0	0	1	1	1
Soft-shelled Turtle	Soft-Shelled Turtle HHD Icon	3750	River	4	4 PM - 9 AM	0	1	1	0	0	0	0	0	0	0	0	0
Snapping Turtle	Snapping Turtle NH Icon	5000	River	5	9 PM - 4 AM	1	1	1	1	0	0	0	0	0	1	1	1
Tadpole	Tadpole HHD Icon	100	Pond	1	All day	1	0	0	0	0	0	0	0	1	1	1	1
Frog	Frog HHD Icon	120	Pond	2	All day	1	1	0	0	0	0	0	0	0	0	1	1
Freshwater Goby	Freshwater Goby HHD Icon	400	River	2	4 PM - 9 AM	1	1	1	1	1	1	1	1	1	1	1	1
Loach	Loach HHD Icon	400	River	2	All day	0	0	0	0	0	0	0	0	1	1	1	0
Catfish	Catfish HHD Icon	800	Pond	4	4 PM - 9 AM	1	1	1	1	0	0	0	0	0	0	1	1
Giant snakehead	Giant Snakehead HHD Icon	5500	Pond	5	9 AM - 4 PM	1	1	0	0	0	0	0	0	0	0	0	1
Bluegill	Bluegill HHD Icon	180	River	2	9 AM - 4 PM	1	1	1	1	1	1	1	1	1	1	1	1
Yellow perch	Yellow Perch HHD Icon	300	River	3	All day	0	0	0	1	1	1	1	1	1	0	0	0
Black bass	Black Bass HHD Icon	400	River	4	All day	1	1	1	1	1	1	1	1	1	1	1	1
Tilapia	Tilapia NH Icon	800	River	3	All day	1	1	1	1	0	0	0	0	0	0	0	1
Pike	Pike HHD Icon	1800	River	5	All day	0	0	1	1	1	1	0	0	0	0	0	0
Pond smelt	Pond Smelt HHD Icon	500	River	2	All day	0	0	0	0	0	1	1	1	0	0	0	0
Sweetfish	Sweetfish HHD Icon	900	River	3	All day	1	1	1	0	0	0	0	0	0	0	0	0
Cherry Salmon	Cherry Salmon HHD Icon	1000	River (Clifftop) Pond	3	4 PM - 9 AM	0	0	1	1	1	0	0	0	1	1	1	1
Char	Char HHD Icon	3800	River (Clifftop) Pond	3	4 PM - 9 AM	0	0	1	1	1	0	0	0	1	1	1	1
Golden Trout	Golden Trout NH Icon	15000	River (Clifftop)	4	4 PM - 9 AM	0	0	1	1	1	0	0	0	1	1	1	0
Stringfish	Stringfish HHD Icon	15000	River (Clifftop)	6	4 PM - 9 AM	0	0	0	0	0	1	1	1	1	0	0	0
Salmon	Salmon HHD Icon	700	River (Mouth)	4	All day	0	0	1	0	0	0	0	0	0	0	0	0
King Salmon	King Salmon HHD Icon	1800	River (Mouth)	6	All day	0	0	1	0	0	0	0	0	0	0	0	0
Mitten Crab	Mitten Crab HHD Icon	2000	River	2	4 PM - 9 AM	0	0	1	1	1	0	0	0	0	0	0	0
Guppy	Guppy HHD Icon	1300	River	1	9 AM - 4 PM	1	1	1	1	1	0	0	0	0	1	1	1
Nibble Fish	Nibble Fish HHD Icon	1500	River	2	9 AM - 4 PM	1	1	1	0	0	0	0	0	0	0	1	1
Angelfish	Angelfish HHD Icon	3000	River	2	4 PM - 9 AM	1	1	1	1	0	0	0	0	0	0	1	1
Betta	Betta NH Icon	2500	River	2	9 AM - 4 PM	1	1	1	1	0	0	0	0	0	0	1	1
Neon tetra	Neon Tetra HHD Icon	500	River	1	9 AM - 4 PM	1	1	1	1	1	0	0	0	0	1	1	1
Rainbowfish	Rainbowfish NH Icon	800	River	1	9 AM - 4 PM	1	1	1	1	0	0	0	0	0	0	1	1
Piranha	Piranha HHD Icon	2500	River	2	9 AM - 4 PM & 9 PM - 4 AM	1	1	1	0	0	0	0	0	0	0	0	1
Arowana	Arowana HHD Icon	10000	River	4	4 PM - 9 AM	1	1	1	0	0	0	0	0	0	0	0	1
Dorado	Dorado HHD Icon	15000	River	5	4 AM - 9 PM	1	1	1	0	0	0	0	0	0	0	0	1
Gar	Gar HHD Icon	6000	Pond	6	4 PM - 9 AM	1	1	1	0	0	0	0	0	0	0	0	1
Arapaima	Arapaima HHD Icon	10000	River	6	4 PM - 9 AM	1	1	1	0	0	0	0	0	0	0	0	1
Saddled Bichir	Saddled Bichir HHD Icon	4000	River	4	9 PM - 4 AM	1	1	1	0	0	0	0	0	0	0	0	1
Sturgeon	Sturgeon HHD Icon	10000	River (Mouth)	6	All day	0	0	1	1	1	1	1	1	1	0	0	0
Sea butterfly	Sea Butterfly HHD Icon	1000	Sea	1	All day	0	0	0	0	0	1	1	1	1	0	0	0
Seahorse	Seahorse (New Leaf icon)	1100	Sea	1	All day	1	1	1	1	1	0	0	0	0	1	1	1
Clownfish	Clownfish HHD Icon	650	Sea	1	All day	1	1	1	0	0	0	0	0	0	1	1	1
Surgeonfish	Surgeonfish HHD Icon	1000	Sea	2	All day	1	1	1	0	0	0	0	0	0	1	1	1
Butterfly fish	Butterfly Fish (New Leaf icon)	1000	Sea	2	All day	1	1	1	0	0	0	0	0	0	1	1	1
Napoleonfish	Napoleonfish HHD Icon	10000	Sea	6	4 AM - 9 PM	1	1	0	0	0	0	0	0	0	0	0	0
Zebra turkeyfish	Zebra Turkeyfish HHD Icon	500	Sea	3	All day	1	1	1	1	1	0	0	0	0	1	1	1
Blowfish	Blowfish HHD Icon	5000	Sea	3	9 PM - 4 AM	0	0	0	0	1	1	1	1	0	0	0	0
Puffer fish	Puffer Fish HHD Icon	250	Sea	3	All day	1	1	1	0	0	0	0	0	0	0	0	0
Anchovy	Anchovy NH Icon	200	Sea	2	4 AM - 9 PM	1	1	1	1	1	1	1	1	1	1	1	1
Horse mackerel	Horse Mackerel HHD Icon	150	Sea	2	All day	1	1	1	1	1	1	1	1	1	1	1	1
Barred knifejaw	Barred Knifejaw HHD Icon	5000	Sea	3	All day	1	1	1	1	1	0	0	0	1	1	1	1
Sea bass	Sea Bass HHD Icon	400	Sea	5	All day	1	1	1	1	1	1	1	1	1	1	1	1
Red snapper	Red Snapper HHD Icon	3000	Sea	3	All day	1	1	1	1	1	1	1	1	1	1	1	1
Dab	Dab HHD Icon	300	Sea	3	All day	0	0	0	1	1	1	1	1	1	1	0	0
Olive flounder	Olive Flounder HHD Icon	800	Sea	4	All day	1	1	1	1	1	1	1	1	1	1	1	1
Squid	Squid HHD Icon	500	Sea	3	All day	1	1	0	0	0	1	1	1	1	1	1	1
Moray eel	Moray Eel HHD Icon	2000	Sea	Narrow	All day	0	1	1	1	0	0	0	0	0	0	0	0
Ribbon eel	Ribbon Eel HHD Icon	600	Sea	Narrow	All day	1	1	1	1	0	0	0	0	0	0	0	1
Tuna	Tuna HHD Icon	7000	Pier	6	All day	0	0	0	0	1	1	1	1	1	1	0	0
Blue marlin	Blue Marlin HHD Icon	10000	Pier	6	All day	1	1	1	0	1	1	1	1	1	1	0	0
Giant trevally	Giant Trevally HHD Icon	4500	Pier	5	All day	1	1	1	1	0	0	0	0	0	0	1	1
Mahi-mahi	Mahi-Mahi NH Icon	6000	Pier	5	All day	1	1	1	1	0	0	0	0	0	0	1	1
Ocean sunfish	Ocean Sunfish HHD Icon	4000	Sea	6 (Fin)	4 AM - 9 PM	1	1	1	0	0	0	0	0	0	0	0	0
Ray	Ray HHD Icon	3000	Sea	5	4 AM - 9 PM	0	1	1	1	1	0	0	0	0	0	0	0
Saw shark	Saw Shark HHD Icon	12000	Sea	6 (Fin)	4 PM - 9 AM	1	1	1	0	0	0	0	0	0	0	0	1
Hammerhead shark	Hammerhead Shark HHD Icon	8000	Sea	6 (Fin)	4 PM - 9 AM	1	1	1	0	0	0	0	0	0	0	0	1
Great white shark	Shark HHD Icon	15000	Sea	6 (Fin)	4 PM - 9 AM	1	1	1	0	0	0	0	0	0	0	0	1
Whale shark	Whale Shark HHD Icon	13000	Sea	6 (Fin)	All Day	1	1	1	0	0	0	0	0	0	0	0	1
Suckerfish	Suckerfish NH Icon	1500	Sea	6 (Fin)	All day	1	1	1	0	0	0	0	0	0	0	0	1
Football fish	Football Fish HHD Icon	2500	Sea	4	4 PM - 9 AM	0	0	0	0	1	1	1	1	1	0	0	0
Oarfish	Oarfish HHD Icon	9000	Sea	6	All day	0	0	0	0	0	1	1	1	1	1	1	0
